id,concept,subconcept,book,page,notes
395,Heap,,5,64-65,
396,Heap,,5,67,
397,Heap,,5,70,
398,Heap,,5,74,
399,Heap,,5,104,
400,Heap,,5,106,
401,Heap,,5,123-124,
402,Heap,,5,135,
403,Heap,,5,160,
404,Heap Cookies,,5,35,
405,Heap Cookies,,5,47,
406,Heap Spray,,5,64,
407,Hot Standby Router Protocol (HSRP),,1,66,Attacked by Yersinia
408,Hot Standby Router Protocol (HSRP),,1,104-111,Cisco High Availability routers
410,HTTP Strict Transport Security (HSTS),,1,149-150,
411,HTTP Strict Transport Security (HSTS),,1,160,
412,IDA Pro,,1,12,Disassembler
413,IDA Pro,,2,25,
414,IDA Pro,,2,115,
417,Immunity Debugger,,4,37,
418,Immunity Debugger,,5,15-16,
419,Immunity Debugger,,5,18,
420,Immunity Debugger,,5,21,
421,Immunity Debugger,,5,115,
422,Immunity Debugger,,5,118,
423,Immunity Debugger,,5,137,
424,Immunity Debugger,,5,139,
425,Initialization Value (IV),,2,8-9,
426,Initialization Value (IV),,2,15-18,
427,Initialization Value (IV),,2,20,
428,Initialization Value (IV),,2,22,
429,Initialization Value (IV),,2,37-39,
430,Initialization Value (IV),,2,43-48,
431,Initialization Value (IV),,2,54-61,
432,Initialization Value (IV),,2,68,
436,IPv6,,1,122-141,Rules
438,IPv6,,2,131,
439,IPv6,,2,142,
440,IPv6,,3,80,
441,IPv6,,3,84,
442,IPv6,,3,88-92,
443,IV Collision,,2,54-58,
444,IV Collision,,2,61,
445,IV Collision,,2,68,
446,JavaScript OS Validation,,1,48,NAC
447,JavaScript OS Validation,,1,54,Captive Portal injecting JS
448,kernel32.dll,,4,77,
449,kernel32.dll,,4,79-83,
450,kernel32.dll,,4,86-87,
451,kernel32.dll,,4,89,
452,kernel32.dll,,4,120,
453,kernel32.dll,,5,7,
454,kernel32.dll,,5,10,
455,kernel32.dll,,5,14,
456,kernel32.dll,,5,24,
457,kernel32.dll,,5,26,
458,kernel32.dll,,5,31,
459,kernel32.dll,,5,65,
460,Lazy Linking,,4,42,
461,Lazy Linking,,5,8,
462,Lazy Linking,,5,14,
463,Lazy Linking,,5,66,
464,LD_LIBRARY_PATH,,2,118,
465,LD_PRELOAD,,2,118,
466,LD_PRELOAD,,2,120,
467,ldd,,2,118,
468,ldd,,4,152-153,
469,Library Loading,,2,118-119,
470,Library Loading,,2,122,
471,Link State Advertisements (LSAs),,1,113,OSPF Shares with adjacent neighbors to share topology
472,Link State Advertisements (LSAs),,1,115-116,Participating to learn topology
473,Linker,,2,118,
474,Linker,,3,148,
475,Linker,,4,4,
476,Linker,,4,19,
477,Linker,,4,39-40,
478,Linker,,4,42,
479,Linker,,4,50-51,
480,Linker,,4,54-55,
481,Linker,,5,5,
482,Linker,,5,32,
483,linux-gate.so.1,,4,153,
484,Loader,,4,4,
485,Loader,,4,19,
486,Loader,,4,39,
487,Loader,,4,54-55,
488,Loader,,4,84,
489,Loader,,5,5,
490,Loader,,5,32,
491,Loader,,5,67,
492,Loki,,1,110-111,Python Infra Attack Tool for Layer 3
493,Loki,,1,116-119,MD5 Attack
494,Low Fragmentation Heap (LFH),,4,92,
495,Low Fragmentation Heap (LFH),,5,35,
496,Low Fragmentation Heap (LFH),,5,37,
497,Low Fragmentation Heap (LFH),,5,51,
498,Low Fragmentation Heap (LFH),,5,59,
499,Low Fragmentation Heap (LFH),,5,70,
500,Low Fragmentation Heap (LFH),,5,85,
501,ltrace,,2,111-114,
502,MAC,Changing,1,45,"Macshift on windows, Ifconfig on *nix. Most cloud denies"
503,MAC address,,1,44-47,Impersonation
510,MAC address,,1,109,
511,MAC address,,1,125-126,IPv6 included bits
512,MAC address,,1,133,IPv6 MitM
513,MAC address,,2,58,
514,MAC address,,3,84,
515,MAC address,,3,86-87,
516,MAC address,,3,91,
517,MAC address,,3,110,
518,MAC OUI,,1,47-48,Organizationally Unique Identifiers (classes of devices)
519,Magic Unicorn,,2,86,
520,MemGC,,5,36,
521,MemGC,,5,56,
522,MemProtect,,5,56,
523,Message Integrity Check (MIC),,2,27,
524,Message Integrity Check (MIC),,2,60-62,
525,Message Integrity Check (MIC),,5,82,
527,Metasploit,,2,83,
528,Metasploit,,2,86,
529,Metasploit,,2,101,
530,Metasploit,,2,120-121,
531,Metasploit,,2,129-130,
532,Metasploit,,3,106,
533,Metasploit,,4,62,
534,Metasploit,,4,75,
535,Metasploit,,4,88,
536,Metasploit,,4,103,
537,Metasploit,,5,4,
538,Metasploit,,5,113,
539,Metasploit,,5,121,
540,Mimikatz,,2,86,
541,Mimikatz,,2,98,
542,Mimikatz,,2,104,
543,Mimikatz,,2,129,
544,mmap(),,4,142,
545,mmap(),,4,144,
546,mmap(),,4,157,
547,modprobe,,1,70,loading linux kernel modules
550,modprobe,,3,89,
551,mona.py,,5,16,
552,mona.py,,5,137,
553,Netmon Agent,,3,127,
554,Netwide Assembler (NASM),,4,59,
555,Netwide Assembler (NASM),,4,65-66,
556,Netwide Assembler (NASM),,4,70,
557,Network Access Control (NAC),,1,36-40,"Description and Implementations, Common Solutions, ways to attack"
558,Network Access Control (NAC),,1,47-48,"User Agent, OS Fingerprint, Javascript OS validation"
559,Network Access Control (NAC),,1,50-54,Limits of
565,Network Access Control (NAC),,3,5,
569,Nmap,,2,83,
570,Nmap,,2,110,
571,Nmap,,3,72,
572,Null Bytes,,2,20,
573,Null Bytes,,4,59,
574,Null Bytes,,4,66-68,
575,Null Bytes,,4,70,
576,Null Bytes,,4,89,
577,Null Bytes,,4,125,
578,NX bit,,5,38,
579,Obfuscation,,2,36,
580,Obfuscation,,2,68,
581,Obfuscation,,2,77,
582,Obfuscation,,2,136,
583,Obfuscation,,2,138,
584,objdump,,1,12,Disassembler
585,objdump,,4,44-46,
586,objdump,,4,48-50,
587,objdump,,4,65,
588,objdump,,4,108,
589,OllyDbg,,5,15,
590,OllyDbg,,5,21,
591,Opcodes,,3,45-46,
592,Opcodes,,4,9,
593,Opcodes,,4,36,
594,Opcodes,,4,59,
595,Opcodes,,4,85,
596,Opcodes,,4,157,
597,Opcodes,,5,98,
598,Opcodes,,5,105,
599,Opcodes,,5,110-111,
600,Opcodes,,5,115-116,
604,Open Shortest-Path First (OSPF),,1,112-118,"Definition, Interior Gateway Protocol"
605,Open Shortest-Path First (OSPF),,1,162,
606,Open Shortest-Path First (OSPF),,1,164,
607,openssl,,2,14,
608,openssl,,2,16,
609,openssl,,2,20,
610,openssl,,2,22-24,
611,openssl,,2,32,
612,openssl,,2,118,
613,OSfuscate,,1,51,Modify Registry Params for TCP IP (TTL/TCP/MTU/Window Size)
614,p0f,,1,50,Inline Captive Portal method reading stack frames to identify OS
616,PacketFence,,1,40,Open Source NAC/Captive Portal ZEN appliance
617,Padding Oracle,,2,41,
618,Padding Oracle,,2,49-50,
619,Padding Oracle,,2,52-53,
620,Padding Oracle On Downgraded Legacy Encryption (POODLE),,2,49-50,
621,Padding Oracle On Downgraded Legacy Encryption (POODLE),,2,52-53,
622,Paging,,4,4,
623,Paging,,4,8,
624,Paging,,4,16-18,
625,Paging,,5,10,
626,PaiMei,,3,128,
627,PaiMei,,3,140,
628,Passive OS Fingerprinting,,1,48,NAC
629,PaX,,2,74,
630,PaX,,4,142,
631,PaX,,4,160,
632,Pcaphistogram,,2,29,
633,PE/COFF,,2,119,
634,PE/COFF,,5,5,
635,PE/COFF,,5,8,
636,PE/COFF,,5,10,
637,PE/COFF,,5,12-14,
638,PE/COFF,,5,18-23,
639,PEB Randomization,,5,35,
640,PEB Randomization,,5,46,
641,PEB Randomization,,5,48,
642,PEB Randomization,,5,53,
643,Pickupline,,1,46,Captive Portal scammer script
644,PKCS#5,,2,41-42,
645,PKCS#5,,2,48,
646,PKCS#7,,2,42,
647,Pop/Pop/Ret,,5,94-98,
648,post exploitation,,1,18,Anything after the first exploit
649,post exploitation,,2,101,
650,Potato,,2,131-133,
651,PowerShell,,2,33,
652,PowerShell,,2,81,
653,PowerShell,,2,84-85,
654,PowerShell,,2,87,
655,PowerShell,,2,91-93,
656,PowerShell,,2,95-102,
657,PowerShell,,2,106,
658,PowerShell,,2,129-130,
659,PowerShell,,2,138-139,
660,PowerShell,,3,125,
661,PowerShell,,3,130,
662,PowerShell,,5,63,
663,PowerSploit,,2,129,
664,Procedure Epilogue,,4,26-31,
665,Procedure Epilogue,,5,90,
666,Procedure Epilogue,,5,114,
667,Procedure Epilogue,,5,120,
668,Procedure Linkage Table (PLT),,4,35,
669,Procedure Linkage Table (PLT),,4,42,
670,Procedure Linkage Table (PLT),,4,46,
671,Procedure Linkage Table (PLT),,4,50-53,
672,Procedure Linkage Table (PLT),,4,110-111,
673,Procedure Linkage Table (PLT),,4,114,
674,Procedure Linkage Table (PLT),,4,144-145,
675,Procedure Linkage Table (PLT),,5,8,
676,Procedure Linkage Table (PLT),,5,14,
677,Procedure Prologue,,4,11,
678,Procedure Prologue,,4,20,
679,Procedure Prologue,,4,24-27,
680,Procedure Prologue,,4,29,
681,Process Environment Block (PEB),,1,14,Windows Construct
682,Process Environment Block (PEB),,4,20,
683,Process Environment Block (PEB),,4,81,
684,Process Environment Block (PEB),,4,86-87,
685,Process Environment Block (PEB),,5,5,
686,Process Environment Block (PEB),,5,23,
687,Process Environment Block (PEB),,5,25-26,
688,Process Environment Block (PEB),,5,31,
689,Process Environment Block (PEB),,5,33,
690,Process Environment Block (PEB),,5,35,
691,Process Environment Block (PEB),,5,46,
692,Process Environment Block (PEB),,5,48,
693,Process Environment Block (PEB),,5,53,
694,Processor Cache,,4,5,
695,Processor Registers,,3,47,
696,Processor Registers,,4,5-7,
697,Processor Registers,,4,16,
698,Processor Registers,,4,32,
699,Processor Registers,,4,34,
700,Processor Registers,,4,52,
701,Processor Registers,,4,55,
702,Processor Registers,,4,59-60,
703,Processor Registers,,4,100,
704,Procmon Agent,,3,128,
705,Product Security Testing,,1,166,
706,Product Security Testing,,2,144,
707,Product Security Testing,,3,1,
708,Product Security Testing,,3,4-6,
709,Product Security Testing,,3,8-9,
710,Product Security Testing,,3,11-12,
711,Product Security Testing,,3,15-19,
712,Product Security Testing,,3,30,
713,Product Security Testing,,3,34,
714,Product Security Testing,,3,43,
715,Product Security Testing,,3,56-57,
716,Product Security Testing,,3,60-62,
717,Product Security Testing,,3,68,
718,Product Security Testing,,3,70,
719,Product Security Testing,,3,167,
720,Product Security Testing,,4,168,
721,Product Security Testing,,5,159,
722,Protected Mode,,4,16,
723,Protected Mode,,5,82,
724,PSConsoleHostReadline,,2,96,
725,Pstalker,,3,140-142,
726,PUSHAD,,5,133-134,
727,PUSHAD,,5,138,
728,PUSHAD,,5,142,
729,PUSHAD,,5,144,
730,PUSHAD,,5,146,
731,PUSHAD,,5,150,
732,PUSHAD,,5,152-154,
733,PyCrypto,,2,20,
734,PyDbg,,3,121,
735,PyDbg,,3,128,
736,RADIUS,,1,57-59,SSO Auth server
737,RC4,,2,7,
738,RC4,,2,23,
739,RC4,,2,25,
740,RC4,,2,56,
741,readelf,,2,118,
742,readelf,,4,46,
743,Request For Comment (RFC) documents,,1,15,Used by programmers for interop with vendors
745,Request For Comment (RFC) documents,,1,109,3768/5798 Standards for Virtual Router Redundancy Protocol
746,Request For Comment (RFC) documents,,1,113,2328 OSPF
747,Request For Comment (RFC) documents,,1,125,IPv6
748,Request For Comment (RFC) documents,,1,128,IPv6 Optimistic Duplicate Address Detection
749,Request For Comment (RFC) documents,,1,133,Neighbor Discovery
750,Request For Comment (RFC) documents,,1,149,
751,Request For Comment (RFC) documents,,2,19,
752,Request For Comment (RFC) documents,,3,77,
753,Request For Comment (RFC) documents,,3,120,
754,Request For Comment (RFC) documents,,3,123-124,
755,Restricted Desktops,,2,71,
756,Restricted Desktops,,2,81,
757,ret2libc,,4,112,
758,ret2libc,,4,114-115,
759,ret2libc,,4,122,
760,ret2libc,,4,127,
761,ret2libc,,4,167,
762,ret2libc,,5,38,
763,ret2libc,,5,105,
764,Return Oriented Programming (ROP),,1,14,Technique to circumvent exploit mitigation controls
765,Return Oriented Programming (ROP),,4,92,
766,Return Oriented Programming (ROP),,4,116-117,
767,Return Oriented Programming (ROP),,4,121-122,
768,Return Oriented Programming (ROP),,4,124,
769,Return Oriented Programming (ROP),,4,126-127,
770,Return Oriented Programming (ROP),,5,4,
771,Return Oriented Programming (ROP),,5,57-58,
772,Return Oriented Programming (ROP),,5,69,
773,Return Oriented Programming (ROP),,5,71-74,
774,Return Oriented Programming (ROP),,5,84,
775,Return Oriented Programming (ROP),,5,102,
776,Return Oriented Programming (ROP),,5,105-106,
777,Return Oriented Programming (ROP),,5,110,
778,Return Oriented Programming (ROP),,5,122,
779,Return Oriented Programming (ROP),,5,124-133,
780,Return Oriented Programming (ROP),,5,135-138,
781,Return Oriented Programming (ROP),,5,152,
782,Return Oriented Programming (ROP),,5,154-156,
